Temp. Â°C,Mass %
 31.05600,100.00000
 33.55600, 99.76171
 36.05600, 99.49238
 38.55600, 99.47381
 41.05600, 99.29056
 43.55600, 99.21280
 46.05600, 99.21347
 48.55600, 99.19923
 51.05600, 99.17039
 53.55600, 99.03542
 56.05600, 98.97179
 58.55600, 98.88500
 61.05600, 98.68834
 63.55600, 98.70374
 66.05600, 98.57077
 68.55600, 98.32826
 71.05600, 98.26107
 73.55600, 98.10050
 76.05600, 97.95647
 78.55600, 97.87587
 81.05600, 97.69034
 83.55600, 97.69768
 86.05600, 97.68814
 88.55600, 97.56488
 91.05600, 97.57161
 93.55600, 97.46804
 96.05600, 97.35622
 98.55600, 97.22733
101.05600, 97.10056
103.55600, 97.02675
106.05600, 96.85838
108.55600, 96.75595
111.05600, 96.67479
113.55600, 96.53395
116.05600, 96.37555
118.55600, 96.22543
121.05600, 96.05324
123.55600, 95.91146
126.05600, 95.63733
128.55600, 95.50264
131.05600, 95.16779
133.55600, 94.83392
136.05600, 94.47847
138.55600, 94.10147
141.05600, 93.80505
143.55600, 93.35916
146.05600, 92.94446
148.55600, 92.45151
151.05600, 92.05311
153.55600, 91.42432
156.05600, 90.93105
158.55600, 90.33760
161.05600, 89.64570
163.55600, 88.99315
166.05600, 88.67113
168.55600, 87.55493
171.05600, 87.09475
173.55600, 86.45014
176.05600, 85.81170
178.55600, 85.31977
181.05600, 84.48807
183.55600, 84.33511
186.05600, 83.67204
188.55600, 83.37558
191.05600, 82.97965
193.55600, 82.59589
196.05600, 82.31930
198.55600, 82.28386
201.05600, 82.03495
203.55600, 81.93018
206.05600, 81.93676
208.55600, 81.88963
211.05600, 81.80252
213.55600, 81.73948
216.05600, 81.75163
218.55600, 81.64389
221.05600, 81.62062
223.55600, 81.68200
226.05600, 81.49993
228.55600, 81.48544
231.05600, 81.52991
233.55600, 81.49117
236.05600, 81.36410
238.55600, 81.44977
241.05600, 81.37979
243.55600, 81.34217
246.05600, 81.41091
248.55600, 81.28594
251.05600, 81.20600
253.55600, 81.19592
256.05600, 81.23254
258.55600, 81.15385
261.05600, 81.05619
263.55600, 81.06294
266.05600, 81.05555
268.55600, 80.90756
271.05600, 81.00605
